date,number
2022-11-07,3816
2022-11-08,4065
2022-11-09,3919
2022-11-10,3889
2022-11-11,3567
2022-11-12,2059
2022-11-13,1677
2022-11-14,3808
2022-11-15,3568
2022-11-16,3347
2022-11-17,3541
2022-11-18,2327
2022-11-19,1228
2022-11-20,1247
2022-11-21,3232
2022-11-22,3216
2022-11-23,2548
2022-11-24,2584
2022-11-25,3048
2022-11-26,1574
2022-11-27,1533
2022-11-28,3080
2022-11-29,3307
2022-11-30,3186
2022-12-01,3214
2022-12-02,2247
2022-12-03,1321
2022-12-04,1081
2022-12-05,2788
2022-12-06,2994
2022-12-07,3040
2022-12-08,1377
2022-12-09,1493
2022-12-10,1279
2022-12-11,1015
2022-12-12,1363
2022-12-13,1904
2022-12-14,1999
2022-12-15,1950
2022-12-16,1786
2022-12-17,935
2022-12-18,811
2022-12-19,2009
2022-12-20,2056
2022-12-21,1975
2022-12-22,1772
2022-12-23,1363
2022-12-24,536
2022-12-25,496
2022-12-26,560
2022-12-27,1091
2022-12-28,1245
2022-12-29,1102
2022-12-30,1159
2022-12-31,782
